instance,parent,mount_interface,physical_joint_status,source_revision
e1_anchor_bolt_G04_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G04_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G04_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G05_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G05_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G05_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G05_1,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G05_1,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G05_1,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G06_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G06_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G06_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G06_1,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G06_1,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G06_1,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G07_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G07_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G07_0,ROOT_STRUCTURE,RB_longeron_1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G08_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G08_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G08_0,ROOT_STRUCTURE,RB_longeron_-1_-1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G09_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G09_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G09_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G09_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G09_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G09_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G10_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G10_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G10_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G10_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G10_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G10_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e2_stub_out_H01,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
